Experiment Name,Mean Accuracy,95% CI Margin,CI Lower,CI Upper
Stats (min) Epoch (70),0.5632,0.0123,0.5509000000000001,0.5755
Stats (min) Epoch (130),0.561,0.0109,0.5501,0.5719000000000001
Stats (min) Epoch (110),0.5582,0.0088,0.5494,0.5670000000000001
Stats (min) Epoch (60),0.5574,0.0102,0.5472,0.5676
Stats (mean) Epoch (80),0.5574,0.007,0.5504,0.5644
Stats (mean) Epoch (40),0.5548,0.0077,0.5470999999999999,0.5625
Stats (mean) Epoch (50),0.5544,0.0081,0.5463,0.5625
Stats (mean) Epoch (90),0.554,0.0085,0.5455000000000001,0.5625
Stats (mean) Epoch (100),0.5536,0.0083,0.5453,0.5619
Stats (mean) Epoch (110),0.5532,0.0084,0.5448000000000001,0.5616
Stats (mean) Epoch (60),0.5528,0.0102,0.5426,0.563
Stats (mean) Epoch (130),0.5524,0.0086,0.5438,0.561
Stats (mean) Epoch (20),0.5522,0.0075,0.5447000000000001,0.5597
Stats (mean) Epoch (70),0.5508,0.0093,0.5415,0.5600999999999999
Stats (mean) Epoch (30),0.5506,0.0069,0.5437,0.5575
Stats (mean) Epoch (120),0.5488,0.0073,0.5415,0.5560999999999999
Stats (mean) Epoch (140),0.548,0.0068,0.5412,0.5548000000000001
